Time,Tag,Code,Log
1679555094,GNSS,0,
1679555099,GNSS,0,"$GNRMC,070419.000,A,2649.292060,N,07551.400485,E,0.00,150.32,230323,,,D,V*0F"
1679555104,GNSS,0,
1679555109,GNSS,0,
1679555114,GNSS,0,"$GNRMC,070435.000,A,2649.292060,N,07551.400485,E,0.00,150.32,230323,,,D,V*01"
1679555119,GNSS,0,
1679555124,GNSS,0,
1679555129,GNSS,0,"$GNRMC,070451.000,A,2649.292060,N,07551.400485,E,0.00,150.32,230323,,,D,V*03"
1679555134,GNSS,0,
1679555139,GNSS,0,
1679555144,GNSS,0,"$GNRMC,070507.000,A,2649.292060,N,07551.400485,E,0.00,150.32,2303"
1679555149,GNSS,0,
1679555154,GNSS,0,
1679555159,GNSS,0,
1679555164,GNSS,0,"$GNRMC,070523.000,A,2649.289718,N,07551.400078,E,0.00,138.99,230323,,,D,V*0C"
1679555169,GNSS,0,
1679555174,GNSS,0,
1679555179,GNSS,0,"$GNRMC,070539.000,A,2649.289975,N,07551.400608,E,0.00,142.98,"
1679555184,GNSS,0,
1679555189,GNSS,0,
1679555194,GNSS,0,
1679555199,GNSS,0,"$GNRMC,070555.000,A,2649.289975,N,07551.400608,E,0.00,142.98,230323,,,D,V*05"
1679555204,GNSS,0,
1679555209,GNSS,0,
1679555214,GNSS,0,"$GNRMC,070611.000,A,2649.289975,N,07551.400608,E,0.00,142.98,230323,,,D,V*06"
1679555219,GNSS,0,
1679555224,GNSS,0,
1679555229,GNSS,0,"$GNRMC,070627.000,A,2649.289975,N,07551.400608,E,0.00,142.98,230323,,,D,V*03"
1679555234,GNSS,0,
1679555239,GNSS,0,
1679555244,GNSS,0,"$GNRMC,07"
1679555249,GNSS,0,
1679555254,GNSS,0,
1679555259,GNSS,0,
1679555264,GNSS,0,"$GNRMC,070659.000,A,2649.291282,N,07551.400790,E,0.00,343.63,230323,,,D,V*07"
1679555269,GNSS,0,
1679555274,GNSS,0,
1679555279,GNSS,0,"$GNRMC,070715.000,A,2649.290979,N,07551.401639,E,0.00,187.13,230323,,,D,V*0E"
1679555284,GNSS,0,
1679555289,GNSS,0,
1679555294,GNSS,0,"$GNRMC,070731.000,A,2649.291053,N,07551.401727,E,0.00,261.84,230323,,,D,V*03"
1679555299,GNSS,0,
1679555304,GNSS,0,
1679555309,GNSS,0,"$GNRMC,070747.000,A,2649.291053,N,07551.401727,E,0.00,261.84,230323,,,D,V*02"
1679555314,GNSS,0,
1679555319,GNSS,0,
1679555324,GNSS,0,"$GNRMC,070803.000,A,2649.291053,N,07551.401727,E,0.00,46.47,230323,,,D,V*35"
1679555329,GNSS,0,
1679555334,GNSS,0,
1679555339,GNSS,0,"$GNRMC,070819.0"
1679555344,GNSS,0,
1679555349,GNSS,0,
1679555354,GNSS,0,
1679555359,GNSS,0,"$GNRMC,070835.000,A,2649.289743,N,07551.401222,E,0.00,214.34,230323,,,D,V*0E"
1679555364,GNSS,0,
1679555369,GNSS,0,
1679555374,GNSS,0,"$GNRMC,070851.000,A,2649.289315,N,07551.401712,E,0.00,359.92,230323,,,D,V*09"
1679555379,GNSS,0,
1679555384,GNSS,0,
1679555389,GNSS,0,"$GNRMC,070907.000,A,2649.289130,N,07551.401641,E,0.00,286.04,230323,,,D,V*05"
1679555394,GNSS,0,
1679555399,GNSS,0,
1679555404,GNSS,0,"$GNRMC,070923.000,A,2649.289130,N,07551.401641,E,0.00,327.45,230323,,,D,V*0C"
1679555409,GNSS,0,
1679555414,GNSS,0,
1679555419,GNSS,0,"$GNRMC,070939.000,A,2649.289130,N,07551.401641,E,0.00,327.45,230323,,,D,V*07"
1679555424,GNSS,0,
1679555429,GNSS,0,"$GNRMC,070940."
1679555434,GNSS,0,"$GNRMC,070955.000,A,2649.289130,N,07551.401641,E,0.00,316.77,230323,,,D,V*0E"
1679555439,GNSS,0,
1679555444,GNSS,0,
1679555449,GNSS,0,"$GNRMC,071011.000,A,2649.289885,N,07551.402854,E,0.00,305.69,230323,,,D,V*05"
1679555454,GNSS,0,
1679555459,GNSS,0,
1679555464,GNSS,0,"$GNRMC,071027.000,A,2649.289885,N,07551.402854,E,0.00,179.69,230323,,,D,V*09"
1679555469,GNSS,0,
1679555474,GNSS,0,"$GNRMC,071028.000,A,2649.289885,N,07551.402854,E,0.00,179.69,230323,,,D,"
1679555479,GNSS,0,
1679555484,GNSS,0,
1679555489,GNSS,0,"$GNRMC,071044.000,A,2649.290654,N,07551.403640,E,0.00,294.95,230323,,,D,V*0F"
1679555494,GNSS,0,
1679555499,GNSS,0,
1679555504,GNSS,0,"$GNRMC,071100.000,A,2649.290609,N,07551.403126,E,0.00,15.69,230323,,,D,V*39"
1679555509,GNSS,0,
1679555514,GNSS,0,
1679555519,GNSS,0,
1679555524,GNSS,0,"$GNRMC,071116.000,A,2649.289999,N,07551.403669,E,0.00,319.47,230323,,,D,V*0F"
1679555529,GNSS,0,
1679555534,GNSS,0,
1679555539,GNSS,0,"$GNRMC,071132.000,A,2649.289999,N,07551.403669,E,0.00,283.84,230323,,,D,V*04"
1679555544,GNSS,0,
1679555549,GNSS,0,
1679555554,GNSS,0,"$GNRMC,071148.000,A,2649.290955,N,07551.403276,E,0.00,248.92,230323,,,D,V*0B"
1679555559,GNSS,0,"$GNRMC,071203.000,A,2649.291521,N,07551.402889,E,0.00,333.91,230323,,,D,V*0C"
1679555564,GNSS,0,
1679555569,GNSS,0,"$GNRMC,071204.000,A,2649.291521,N,07551.402889,E,0.00,333.91"
1679555574,GNSS,0,
1679555579,GNSS,0,"$GNRMC,071219.000,A,2649.291521,N,07551.402889,E,0.00,102.54,230323,,,D,V*0E"
1679555584,GNSS,0,
1679555589,GNSS,0,"$GNRMC,071220.000,A,2649.291521,N,07551.402889,E,0.00,353.00,23032"
1679555594,GNSS,0,"$GNRMC,071235.000,A,2649.291521,N,07551.402889,E,0.00,143.72,230323,,,D,V*01"
1679555599,GNSS,0,
1679555604,GNSS,0,
1679555609,GNSS,0,"$GNRMC,071251.000,A,2649.292946,N,07551.404365,E,0.00,13.66,230323,"
1679555614,GNSS,0,
1679555619,GNSS,0,
1679555624,GNSS,0,
1679555629,GNSS,0,"$GNRMC,071307.000,A,2649.295118,N,07551.403974,E,0.00,13.66,230323,,,D,V*38"
1679555634,GNSS,0,
1679555639,GNSS,0,
1679555644,GNSS,0,"$GNRMC,071323.000,A,2649.295035,N,07551.404455,E,0.00,13.66,230323,,,D,V*39"
1679555649,GNSS,0,
1679555654,GNSS,0,
1679555659,GNSS,0,"$GNRMC,071339.000,A,2649.295035,N,07551.404455,E,0.00,13.66,230323,,,D,V*32"
1679555664,GNSS,0,
1679555669,GNSS,0,
1679555674,GNSS,0,"$GNRMC,071355.000,A,2649.295035,N,07551.404455,E,0."
1679555679,GNSS,0,
1679555684,GNSS,0,
1679555689,GNSS,0,"$GNRMC,071411.000"
1679555694,GNSS,0,
1679555699,GNSS,0,
1679555704,GNSS,0,"$GNRMC,071427.000,A,2649.29"
1679555709,GNSS,0,
1679555714,GNSS,0,
1679555719,GNSS,0,"$GNRMC,071443.000,A,2649.291935,N,07551.402670,E,0.00,13.66,230323,,,D,V*36"
1679555724,GNSS,0,
1679555729,GNSS,0,
1679555734,GNSS,0,
1679555739,GNSS,0,"$GNRMC,071459.000,A,2649.291546,N,07551.403486,E,0.00,13.66,230323,,,D,V*3F"
1679555744,GNSS,0,
1679555749,GNSS,0,"$GNRMC,071500.000,A,2649.291546,N,07551.403486,E,0.00,13.66,230323,,,D,V*32"
1679555754,GNSS,0,
1679555759,GNSS,0,
1679555764,GNSS,0,"$GNRMC,071516.000,A,2649.291546,N,07551.403486,E,0.00,301.06,230323,,,D,V*03"
1679555769,GNSS,0,
1679555774,GNSS,0,
1679555779,GNSS,0,"$GNRMC,071532.000,A,2649.292432,N,07551.401387,E,0.00,310.37,230323,,,D,V*02"
1679555784,GNSS,0,
1679555789,GNSS,0,
1679555794,GNSS,0,"$GNRMC,071548.000,A,2649.292914,N,07551.397767,E,0.00,257.43,230323,,,D,V*05"
1679555799,GNSS,0,
1679555804,GNSS,0,
1679555809,GNSS,0,"$GNRMC,071604.000,A,2649.292594,N,07551.401004,E,0.00,92.59,230323,,,D,V*30"
1679555814,GNSS,0,
1679555819,GNSS,0,
1679555824,GNSS,0,"$GNRMC,071620.000,A,2649.292832,N,07551.399232,E,0.00,279.25,230323,,,D,V*0A"
1679555829,GNSS,0,
1679555834,GNSS,0,
1679555839,GNSS,0,"$GNRMC,071636.000,A,2649.294475,N"
1679555844,GNSS,0,
1679555849,GNSS,0,
1679555854,GNSS,0,
1679555859,GNSS,0,"$GNRMC,071652.000,A,2649.293997,N,07551.400581,E,0.00,320.60,230323,,,D,V*04"
1679555864,GNSS,0,"$GNRMC,071707.000,A,2649.295304,N,07551.401148,E,0.00,359.15,230323,,,D,V*0F"
1679555869,GNSS,0,
1679555874,GNSS,0,"$GNRMC,071708.000,A,2649.295249"
1679555879,GNSS,0,
1679555884,GNSS,0,"$GNRMC,071723.000,A,2649.294093,N,07551.401044,E,0.00,281.50,230323,,,D,V*0D"
1679555889,GNSS,0,
1679555894,GNSS,0,"$GNRMC,071724.000,A,2649.294093,N,07551.401044,E,0.00,281.50,230323,"
1679555899,GNSS,0,"$GNRMC,071739.000,A,2649.293877,N,07551.399728,E,0.00,314.72,230323,,,D,V*05"
1679555904,GNSS,0,
1679555909,GNSS,0,
1679555914,GNSS,0,"$GNRMC,071755.000,A,2649.294377,N,07551.397351,E,0.00,303.37,230323,,,D,V*00"
1679555919,GNSS,0,
1679555924,GNSS,0,
1679555929,GNSS,0,"$GNRMC,071811.000,A,2649.293549,N,07551.400331,E,0.00"
1679555934,GNSS,0,
1679555939,GNSS,0,
1679555944,GNSS,0,"$GNRMC,071827.000,A,2649.295254,N,07551.407131,E,0.00,91.28,230323,,,D,V*37"
1679555949,GNSS,0,
1679555954,GNSS,0,"$GNRMC,07182"
1679555959,GNSS,0,
1679555964,GNSS,0,
1679555969,GNSS,0,"$GNRMC,071844.000,A,2649.296791,N,07551.402063,E,0.00,91.28,230323,,,D,V*3E"
1679555974,GNSS,0,
1679555979,GNSS,0,
1679555984,GNSS,0,
1679555989,GNSS,0,"$GNRMC,071901.000,A,2649.297679,N,07551.403874,E,0.00,91.28,230323,,,D,V*37"
1679555994,GNSS,0,
1679555999,GNSS,0,"$GNRMC,071917.000,A,2649.297967,N,07551.404599,E,0.00,91.28,230323,,,D,V*39"
1679556004,GNSS,0,
1679556009,GNSS,0,
1679556014,GNSS,0,
1679556019,GNSS,0,"$GNRMC,071934.000,A,2649.294673,N,07551.404144,E,0.00,91.28,230323,,,D,V*35"
1679556024,GNSS,0,
1679556029,GNSS,0,
1679556034,GNSS,0,
1679556039,GNSS,0,"$GNRMC,071950.000,A,2649.294699,N,07551.403204,E,0.00,91.28,230323,,,D,V*33"
1679556044,GNSS,0,"$GNRMC,072005.000,A,2649.293766,N,07551.401668,E,0.00,91.28,230323,,,D,V*33"
1679556049,GNSS,0,
1679556054,GNSS,0,
1679556059,GNSS,0,
1679556064,GNSS,0,"$GNRMC,072021.000,A,2649.291353,N,07551.401"
1679556069,GNSS,0,
1679556074,GNSS,0,"$GNRMC,072036.000,A,2649.289161,N,07551.407232,E,0.00,91.28,230323,,,D,V*34"
1679556079,GNSS,0,
1679556084,GNSS,0,"$GNRMC,072037.000,A,2649.289392,N,07551.407540,E,0.00,91.28"
1679556089,GNSS,0,
1679556094,GNSS,0,
1679556099,GNSS,0,"$GNRMC,072053.000,A,2649.290323,N,07551.406152,E,0.00,91.28,230323,,,D,V*3F"
1679556104,GNSS,0,
1679556109,GNSS,0,"$GNRMC,072109.000,A,2649.290906,N,07551.405897,E,0.00,91.28,230323,,,D,V*3F"
1679556114,GNSS,0,
1679556119,GNSS,0,"$GNRMC,072110.000,A,2649.290973,N,07551.406339,E,0.00,91.28,230323,,,D,V*39"
1679556124,GNSS,0,
1679556129,GNSS,0,"$GNRMC,072126.000,A,2649.289374,N,07551.408687,E,0.00,91.28,230323,,,D,V*37"
1679556134,GNSS,0,
1679556139,GNSS,0,"$GNRMC,072142.000,A,2649.289743,N,07551.408887,E,0.00,91.28,230323,,,D,V*3B"
1679556144,GNSS,0,
1679556149,GNSS,0,"$GNRMC,07"
1679556154,GNSS,0,
1679556159,GNSS,0,"$GNRMC,072158.000,A,2649.288491,N,07551.407451,E,0.00,91.28,230323,,,D,V*35"
1679556164,GNSS,0,
1679556169,GNSS,0,"$GNRMC,072159.000,A,2649.288602,N,07551.407057,E,0.00,91.28"
1679556174,GNSS,0,
1679556179,GNSS,0,"$GNRMC,072214.000,A,2649.290351,N,07551.405243,E,0.00,91.28,230323,,,D,V*3B"
1679556184,GNSS,0,
1679556189,GNSS,0,
1679556194,GNSS,0,
1679556199,GNSS,0,"$GNRMC,072230.000,A,2649.290937,N,07551.402974,E,0.00,91.28,230323,,,D,V*3F"
1679556204,GNSS,0,"$GNRMC,072245.000,A,2649.290674,N,07551.405225,E,0.00,91.28,230323,,,D,V*3D"
1679556209,GNSS,0,
1679556214,GNSS,0,
1679556219,GNSS,0,
1679556224,GNSS,0,"$GNRMC,072301.000,A,2649.290887,N,07551.405050,E,0.00,91.28,230323,,,D,V*3E"
1679556229,GNSS,0,
1679556234,GNSS,0,"$GNRMC,072316.000,A,2649.289909,N,07551.401279,E,0.00,91.28,230323,,,D,V*3A"
1679556239,GNSS,0,
1679556244,GNSS,0,"$GNRMC,07"
1679556249,GNSS,0,
1679556254,GNSS,0,"$GNRMC,072332.000,A,2649.289579,N,07551.403038,E,0.00,91.28,230323,,,D,V*32"
1679556259,GNSS,0,
1679556264,GNSS,0,
1679556269,GNSS,0,
1679556274,GNSS,0,"$GNRMC,072348.000,A,2649.289577,N,07551.403072,E,0.00,91.28,230323,,,D,V*3F"
1679556279,GNSS,0,
1679556284,GNSS,0,"$GNRMC,072403.000,A,2649.289376,N,07551.406454,E,0.00,91.28,230323,,,D,V*35"
1679556289,GNSS,0,
1679556294,GNSS,0,"$GNRMC,072404.000,A,2649.289376,N,07551.406454,E,0.00,9"
1679556299,GNSS,0,
1679556304,GNSS,0,"$GNRMC,072419.000,A,2649.289026,N,07551.403892,E,0.00,91.28,230323,,,D,V*3B"
1679556309,GNSS,0,
1679556314,GNSS,0,
1679556319,GNSS,0,
