Time,Tag,Code,Log
1680747489,GNSS,0,"$GNRMC,021802.000,A,2649.277219,N,07551.407854,E,0.00,119.07,060423,,,D,V*06"
1680747491,GNSS,0,
1680747493,GNSS,0,"$GNRMC,021803.000,A,2649.277564,N,07551.407285,E,0.00,119.07,060423,,,D,V*0C"
1680747495,GNSS,0,
1680747497,GNSS,0,
1680747499,GNSS,0,"$GNRMC,021804.000,A,2649.277436,N,07551.407257,E,0.00,119.07,060423,,,D,V*02"
1680747501,GNSS,0,
1680747503,GNSS,0,"$GNRMC,021805.000,A,2649.277769,N,07551.407113,E,0.00,119.07,060423,,,D,V*09"
1680747505,GNSS,0,
1680747507,GNSS,0,
1680747509,GNSS,0,"$GNRMC,021822.000,A"
1680747511,GNSS,0,
1680747513,GNSS,0,
1680747515,GNSS,0,"$GNRMC,021823.000,A,2649.278026,N,07551.406079,E,0.00,119.07,060423,,,D,V*02"
1680747517,GNSS,0,
1680747519,GNSS,0,
1680747521,GNSS,0,"$GNRMC,021824.000,A,2649.278026,N,07551.406079,E,0.00,119.07,060423,,,D,V*05"
1680747523,GNSS,0,
1680747525,GNSS,0,"$GNRMC,021825.000,A,2649.278026,N,07551.406079,E,0.00,119.07,060423,,,D,V*04"
1680747527,GNSS,0,"$GNRMC,021841.000,A,2649.278762,N,07551.410413,E,0.00,119.07,060423,,,D,V*0E"
1680747529,GNSS,0,
1680747531,GNSS,0,"$GNRMC,0218"
1680747533,GNSS,0,
1680747535,GNSS,0,
1680747537,GNSS,0,"$GNRMC,021843.000,A,2649.278374,N,07551.411046,E,0.00,119.07,060423,,,D,V*0A"
1680747539,GNSS,0,
1680747541,GNSS,0,
1680747543,GNSS,0,"$GNRMC,021844.000,A,2649.278392,N,07551.411250,E,0.00,119.07,060423,,,D,V*00"
1680747545,GNSS,0,
1680747547,GNSS,0,
1680747549,GNSS,0,"$GNRMC,021901.000,A,2649.276402,N,07551.412880,E,0.00,119.07,060423,,,D,V*04"
1680747551,GNSS,0,
1680747553,GNSS,0,"$GNRMC,021902.000,A,2649."
1680747555,GNSS,0,
1680747557,GNSS,0,
1680747559,GNSS,0,"$GNRMC,021903.000,A,2649.276731,N,07551.412566,E,0.00,119.07,060423,,,D,V*00"
1680747561,GNSS,0,
1680747563,GNSS,0,
1680747565,GNSS,0,
1680747567,GNSS,0,"$GNRMC,021920.000,A,2649.276952,N,07551.411721,E,0.00,119.07,060423,,,D,V*08"
1680747569,GNSS,0,
1680747571,GNSS,0,"$GNRMC,021921.000,A,2649.276952,N,07551.411721,E,0.00,119.07,060423,,,D,V*09"
1680747573,GNSS,0,
1680747575,GNSS,0,
1680747577,GNSS,0,"$GNRMC,021922.000,A,2649.277454,N,07551.411487,E,0.00,119.07,060423,,,D,V*0F"
1680747579,GNSS,0,
1680747581,GNSS,0,"$GNRMC,021923.000,A,2649.276999,N,07551.411813,E,0.00,119.07,060423,,,D,V*02"
1680747583,GNSS,0,
1680747585,GNSS,0,
1680747587,GNSS,0,"$GNRMC,021940"
1680747589,GNSS,0,
1680747591,GNSS,0,
1680747593,GNSS,0,"$GNRMC,021941.000,A,2649.278716,N,07551.409317,E,0.00,119.07,060423,,,D,V*07"
1680747595,GNSS,0,
1680747597,GNSS,0,
1680747599,GNSS,0,"$GNRMC,021942.000,A,2649.278621,N,07551.409488,E,0.00,119.07,060423,,,D,V*00"
1680747601,GNSS,0,
1680747603,GNSS,0,"$GNRMC,021943.000,A,2649.278463,N,07551.409665,E,0.00,119.07,060423,,,D,V*04"
1680747605,GNSS,0,"$GNRMC,021959.000,A,2649.277713,N,07551.409785,E,0.00,119.07,060423,,,D,V*0B"
1680747607,GNSS,0,
1680747609,GNSS,0,
1680747611,GNSS,0,"$GNRMC,022000.000,A,2649.277776,N,07551.410031,E,0.00,119.07,060423,,,D,V*0E"
1680747613,GNSS,0,
1680747615,GNSS,0,"$GNRMC,022001.000,A,2649.277776,N,07551.410031,E,0.00,119.07,060423,,,D,V*0F"
1680747617,GNSS,0,
1680747619,GNSS,0,
1680747621,GNSS,0,"$GNRMC,022002.000,A,2649.277776,N,07551.410031,E,0.00,119.07,060423,,,D,V*0C"
1680747623,GNSS,0,
1680747625,GNSS,0,"$GNRMC,022018.000,A,2649.277399,N,07551.408998,E,0.00,119.07,060423,,,D,V*01"
1680747627,GNSS,0,
1680747629,GNSS,0,"$GNRMC,022019.000,A,2649.277763,N,07551.408770,E,0.00,119.07,060423,,,D,V*09"
1680747631,GNSS,0,
1680747633,GNSS,0,
1680747635,GNSS,0,"$GNRMC,022020.000,A,2649.277915,N,07551.408976,E,0.00,119.07,060423,,,D,V*04"
1680747637,GNSS,0,
1680747639,GNSS,0,"$GNRMC,022021.000,A,2649.278317,N,07551.408962,E,0.00,119.07,060423,,,D,V*07"
1680747641,GNSS,0,
1680747643,GNSS,0,
1680747645,GNSS,0,"$GNRMC,022038.000,A,2649.278206,N,07551.408624,E,0.00,119.07,060423,,,D,V*03"
1680747647,GNSS,0,
1680747649,GNSS,0,"$GNRMC,022039.000,A,2649.278393,N,07551.408287,E,0."
1680747651,GNSS,0,
1680747653,GNSS,0,
1680747655,GNSS,0,"$GNRMC,022040.000,A,2649.278403,N,07551.407896,E,0.00,119.07,060423,,,D,V*07"
1680747657,GNSS,0,
1680747659,GNSS,0,"$GNRMC,022041.000,A,2649.278385,N"
1680747661,GNSS,0,
1680747663,GNSS,0,
1680747665,GNSS,0,"$GNRMC,022058.000,A,2649.279077,N,07551"
1680747667,GNSS,0,
1680747669,GNSS,0,
1680747671,GNSS,0,"$GNRMC,022059.000,A,2649.279355,N,07551.406204,E,0.00,119.07,060423,,,D,V*0A"
1680747673,GNSS,0,
1680747675,GNSS,0,"$GNRMC,022100.000"
1680747677,GNSS,0,
1680747679,GNSS,0,
1680747681,GNSS,0,"$GNRMC,022101.000,A,2649.279360,N,07551.406332,E,0.00,119.07,060423,,,D,V*04"
1680747683,GNSS,0,
1680747685,GNSS,0,
1680747687,GNSS,0,"$GNRMC,022118.000,A,2649.280657,N,07551.409010,E,0.00,119.07,060423,,,D,V*07"
1680747689,GNSS,0,
1680747691,GNSS,0,"$GNRMC,022119.000,A,2649.281048"
1680747693,GNSS,0,
1680747695,GNSS,0,
1680747697,GNSS,0,"$GNRMC,022120.000,A,2649.280746,N,07551.409529,E,0.00,119.07,060423,,,D,V*02"
1680747699,GNSS,0,
1680747701,GNSS,0,"$GNRMC,022121"
1680747703,GNSS,0,"$GNRMC,022137.000,A,2649.282591,N,07551.409670,E,0.00,119.07,060423,,,D,V*01"
1680747705,GNSS,0,
1680747707,GNSS,0,"$GNRMC,022138.000,A,2649.282248,N,07551.409895,E,0."
1680747709,GNSS,0,
1680747711,GNSS,0,
1680747713,GNSS,0,"$GNRMC,022139.000,A,2649.282213,N,07551.409779,E,0.00,119.07,060423,,,D,V*0A"
1680747715,GNSS,0,
1680747717,GNSS,0,"$GNRMC,022140.000,A,2649."
1680747719,GNSS,0,
1680747721,GNSS,0,
1680747723,GNSS,0,"$GNRMC,0221"
1680747725,GNSS,0,
1680747727,GNSS,0,
1680747729,GNSS,0,"$GNRMC,022158.000,A,2649.283962,N,07551.405361,E,0.00,119.07,060423,,,D,V*00"
1680747731,GNSS,0,
1680747733,GNSS,0,
1680747735,GNSS,0,"$GNRMC,022159.000,A,2649.283962,N,07551.405361,E,0.00,119.07,060423,,,D,V*01"
1680747737,GNSS,0,
1680747739,GNSS,0,"$GNRMC,022200.000,A,2649.283962,N,07551.405361,E,0.00,119.07,060423,,,D,V*0E"
1680747741,GNSS,0,
